2026-04-11 10:46:01 | INFO     | main                           | Loading config from: config.yaml
2026-04-11 10:46:01 | WARNING  | agent.safety.dedup             | Corrupt dedup DB, starting fresh
2026-04-11 10:46:01 | INFO     | agent.tracker                  | Tracker: loaded 8 historical applications
2026-04-11 10:46:01 | INFO     | agent.orchestrator             | ============================================================
2026-04-11 10:46:01 | INFO     | agent.orchestrator             | Job Application Agent — starting run
2026-04-11 10:46:01 | INFO     | agent.orchestrator             | ============================================================
2026-04-11 10:46:01 | INFO     | agent.orchestrator             | Master resume loaded (3961 chars)
2026-04-11 10:46:02 | INFO     | agent.scrapers.linkedin_scraper | LinkedIn: navigating to https://www.linkedin.com/jobs/search/?keywords=Software+Test+Engineer&location=Pune%2C+India&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true&f_E=3&f_JT=F&f_TPR=r604800
2026-04-11 10:46:02 | INFO     | agent.scrapers.indeed_scraper  | Indeed: navigating to https://in.indeed.com/jobs?q=Software+Test+Engineer&l=Pune%2C+India&start=0&jt=fulltime&fromage=7&radius=50
2026-04-11 10:46:05 | INFO     | agent.scrapers.naukri_scraper  | Naukri API: requesting page 1
2026-04-11 10:46:05 | WARNING  | agent.scrapers.naukri_scraper  | Naukri API: failed on page 1: Expecting value: line 1 column 1 (char 0)
2026-04-11 10:46:05 | INFO     | agent.scrapers.naukri_scraper  | Naukri: API returned no results, trying browser scraping
2026-04-11 10:46:05 | INFO     | agent.scrapers.naukri_scraper  | Naukri browser: navigating to https://www.naukri.com/software-test-engineer-jobs-in-pune?experience=3&jobAge=7
2026-04-11 10:46:09 | INFO     | agent.scrapers.indeed_scraper  | Indeed: no more cards found, stopping pagination
2026-04-11 10:46:09 | INFO     | agent.scrapers.base            | indeed: scraped 0 listings
2026-04-11 10:46:15 | INFO     | agent.scrapers.linkedin_scraper | LinkedIn: found 8 raw cards
2026-04-11 10:46:27 | INFO     | agent.scrapers.naukri_scraper  | Naukri browser: no cards on page 1
2026-04-11 10:46:27 | INFO     | agent.scrapers.base            | naukri: scraped 0 listings
2026-04-11 10:47:35 | INFO     | agent.scrapers.base            | linkedin: scraped 8 listings
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | Total listings scraped: 8
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | Processing: QA Engineer @ StarApps Studio [linkedin] (code: LI-4397835671)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 1 — score: 68.2% (tech=8/14, soft=1/2, cert=0/0)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 68.2% < target 70%, re-iterating (attempt 1/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 2 — score: 68.2% (tech=8/14, soft=1/2, cert=0/0)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 68.2% < target 70%, re-iterating (attempt 2/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 3 — score: 68.2% (tech=8/14, soft=1/2, cert=0/0)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 68.2% < target 70%, re-iterating (attempt 3/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 3 — score: 68.2% (tech=8/14, soft=1/2, cert=0/0)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | SKIPPED (low ATS): QA Engineer @ StarApps Studio — ATS score 68.2% below target 70% after 3 iterations
2026-04-11 10:47:35 | INFO     | agent.logging_system.audit_logger | Logged: QA Engineer @ StarApps Studio — ATS 68.2% [skipped] | Resume: N/A
2026-04-11 10:47:35 | INFO     | agent.tracker                  | Tracked: QA Engineer @ StarApps Studio — Skipped (ATS 68.2%) — Resume: N/A
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | Processing: Quality Assurance Engineer @ Siemens Energy [linkedin] (code: LI-4386856290)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 1 — score: 48.8% (tech=12/21, soft=3/7, cert=0/1)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 48.8% < target 70%, re-iterating (attempt 1/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 2 — score: 48.8% (tech=12/21, soft=3/7, cert=0/1)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 48.8% < target 70%, re-iterating (attempt 2/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 3 — score: 48.8% (tech=12/21, soft=3/7, cert=0/1)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | ATS score 48.8% < target 70%, re-iterating (attempt 3/3)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 3 — score: 48.8% (tech=12/21, soft=3/7, cert=0/1)
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | SKIPPED (low ATS): Quality Assurance Engineer @ Siemens Energy — ATS score 48.8% below target 70% after 3 iterations
2026-04-11 10:47:35 | INFO     | agent.logging_system.audit_logger | Logged: Quality Assurance Engineer @ Siemens Energy — ATS 48.8% [skipped] | Resume: N/A
2026-04-11 10:47:35 | INFO     | agent.tracker                  | Tracked: Quality Assurance Engineer @ Siemens Energy — Skipped (ATS 48.8%) — Resume: N/A
2026-04-11 10:47:35 | INFO     | agent.orchestrator             | Processing: Operational QA Engineer @ OUTSCALE [linkedin] (code: LI-4397770375)
2026-04-11 10:47:35 | INFO     | agent.analysis.ats_analyzer    | ATS iteration 1 — score: 55.8% (tech=4/8, soft=0/1, cert=0/0)
